,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_size
0,0,3,1,0.2711736617240512,1,0,0.014151057562208049,1,1
1,1,1,0,0.4722292033174164,1,0,0.13913573538264068,2,1
2,1,3,0,0.32143754712239253,0,0,0.015468569817999833,1,0
3,1,1,0,0.4345312892686604,1,0,0.10364429745562033,1,1
4,0,3,1,0.4345312892686604,0,0,0.015712553569072387,1,0
5,0,3,1,0.34656948982156316,0,0,0.01650950209357577,3,0
6,0,1,1,0.6732847449107816,0,0,0.10122885832000206,1,0
7,0,3,1,0.01985423473234481,3,1,0.04113566043083236,1,4
8,1,3,0,0.33400351847197784,0,2,0.021730754366528396,1,2
9,1,2,0,0.17064589092736868,1,0,0.058694292654020104,2,1
10,1,3,0,0.04498617743151546,1,1,0.03259622914329302,1,2
11,1,1,0,0.723548630309123,0,0,0.051822148727810165,1,0
12,0,3,1,0.24604171902488062,0,0,0.015712553569072387,1,0
13,0,3,1,0.4847951746670017,1,5,0.06104473451835265,1,6
14,0,3,0,0.17064589092736868,0,0,0.015330377421392339,1,0
15,1,2,0,0.685850716260367,0,0,0.03122992013728673,1,0
16,0,3,1,0.01985423473234481,4,1,0.05684821399990475,3,5
17,1,2,1,0.34656948982156316,0,0,0.025374310111545468,1,0
18,0,3,0,0.38426740387031916,1,0,0.03513366015444757,1,1
19,1,3,0,0.34656948982156316,0,0,0.014102260811993537,2,0
20,0,2,1,0.4345312892686604,0,0,0.050748620223090936,1,0
21,1,2,1,0.4219653179190751,0,0,0.025374310111545468,1,0
22,1,3,0,0.18321186227695402,0,0,0.015671954672893913,3,0
23,1,1,1,0.34656948982156316,0,0,0.06929138530460494,1,0
24,0,3,0,0.09525006282985675,3,1,0.04113566043083236,1,4
25,1,3,0,0.4722292033174164,1,5,0.06126431989431795,1,6
26,0,3,1,0.34656948982156316,0,0,0.014102260811993537,2,0
27,0,1,1,0.2334757476752953,3,2,0.5133418122566507,1,5
28,1,3,0,0.34656948982156316,0,0,0.01537917417160685,3,0
29,0,3,1,0.34656948982156316,0,0,0.015411575213749286,1,0
30,0,1,1,0.49736114601658704,0,0,0.05410739813385612,2,0
31,1,1,0,0.34656948982156316,1,0,0.2859895551532101,2,1
32,1,3,0,0.34656948982156316,0,0,0.015126992566498259,3,0
33,0,2,1,0.8240764011058055,0,0,0.020494635090094415,1,0
34,0,1,1,0.34656948982156316,1,0,0.16038672010106003,2,1
35,0,1,1,0.5224930887157577,1,0,0.10149724044618187,1,1
36,1,3,1,0.34656948982156316,0,0,0.014110458666029575,2,0
37,0,3,1,0.2586076903744659,0,0,0.015712553569072387,1,0
38,0,3,0,0.22090977632571,2,0,0.03513366015444757,1,2
39,1,3,0,0.17064589092736868,1,0,0.021942337075458514,2,1
40,0,3,0,0.49736114601658704,1,0,0.018493968331299484,1,1
41,0,2,0,0.33400351847197784,1,0,0.04098927018018883,1,1
42,0,3,1,0.34656948982156316,0,0,0.015411575213749286,2,0
43,1,2,0,0.032420206081930136,1,2,0.08115719346076702,2,3
